sentence,score,abs_score
"At quarter end, cash totaled $357 million, sequentially lower by $31 million due in part to our investments in working capital, capital expenditures and our expanded share repurchase program.",-0.9740633368492126,0.9740633368492126
"We deployed $1.6 billion to dividends, growth CapEx and share repurchases, including opportunistically repurchasing [ the same ] 3.5 million shares throughout the quarter, reducing our weighted average share count to 673 million.",-0.8687719106674194,0.8687719106674194
"GAAP diluted EPS of $0.81 was at the midpoint of our guidance, with a number of diluted shares outstanding slightly favorable to guidance due to elevated share repurchase activity.",-0.446993350982666,0.446993350982666
"This quarter, we repurchased 87.6 million shares for a total of 2.5 billion for the full year.",0.0,0.0
"This quarter, we repurchased 73.5 million shares for a total of $4 billion.",0.0,0.0
Just regarding the share buyback authorization.,0.0,0.0
"Our Board approved the repurchase of up to $3 million of our common stock, and we have $2 million remaining under that authorization, and we finished the quarter with over $8 million in cash.",0.0,0.0
"And this quarter, we repurchased more than 64 million shares for a total of $4 billion.",0.0,0.0
"With the fiscal first quarter typically requiring investments within operations, we did not repurchase any of our stock under the existing authorization.",0.0,0.0
"During the quarter, we completed our $50 million share repurchase authorization by purchasing approximately 149,000 shares of our stock for $12 million.",0.0,0.0
"Before I turn the call over to John, I want to mention our share repurchase program.",0.0,0.0
"During the quarter repurchase approximately 784,000 shares of our stock for $44 million at an average price of $56.61 per share.",0.0,0.0
"For fiscal 2015, we completed the stock repurchase program by purchasing $30 million of our shares at an average price of $40.26 per share.",0.0,0.0
"During the quarter, we repurchased approximately 196,000 shares for $7.5 million at a weighted average price of $38.25 per share.",0.0,0.0
"During the quarter, we repurchased 188,000 of our shares for approximately $7.7 million at a weighted average price of $40.96 per share which completed the $30 million stock repurchase program authorized last year.",0.0,0.0
"On a trailing 12-month basis, our net debt-to-adjusted-EBITDA ratio was approximately 1.3x at June 30, 2016, and we expect the ratio to be close to 1.1x at the end of 2016, absent a large acquisition, share repurchase or debt issuance.",0.0,0.0
"Let me have this fair then -- and just as a follow-up Ginger that the buyback, is any included -- is any buyback included in the guidance and if so how much?",0.0,0.0
"Since April  2005, the company has completed share repurchases of $600 million under repurchase of Tech Data stock, buying back more than 16 million shares to date.",0.0,0.0
"During the fiscal second quarter we repurchased 2.7 million shares under this plan, totaling $83.4 million at an average price of $30.57.",0.0,0.0
"During the quarter, we repurchased more than 525,000 shares of common stock at a cost of approximately $17 million.",0.0,0.0
"Over the last 12 months, we've repurchased more than 5% of the shares outstanding a year ago and paid out more than $2.1 billion in dividend, as nearly 75% of our cash flow was returned to shareholders.",0.0,0.0
"This quarter, we repurchased nearly 49 million shares for a total of $2 billion.",0.0,0.0
"We recently announced a new buyback authorization of 500,000 shares, which we would expect to take place over several years.",0.6284598708152771,0.6284598708152771
"As we've always said, we are committed to returning value to our shareholders through technical innovation, strategic acquisition, stock repurchases, prudent use of debt and the dividend.",0.6870283484458923,0.6870283484458923
"On October 23rd, the Plexus Board of Directors approved a new stock repurchase program under which the Company is authorized to repurchase up to $50 million of its common stock, which is approximately 5% of our current market capitalization.",0.6877924203872681,0.6877924203872681
"As we disclosed during the quarter, on February 16th, 2011 our Board of Directors approved new long-term debt of up to $200 million and a share repurchase plan of $200 million.",0.7364303469657898,0.7364303469657898
"Last week, our board approved a new $300 million repurchase authorization for 2-year period beginning in February 2016.",0.7613551020622253,0.7613551020622253
We expect to execute the repurchases on a consistent basis throughout fiscal 2021 while taking market conditions into consideration.,0.7639268636703491,0.7639268636703491
"In our press release, we announced our Board of Directors has authorized a share repurchase program of up to $100 million for the company's common stock.",0.7667055130004883,0.7667055130004883
"As we've said before, we're committed to returning value to our shareholders through technical innovation, strategic acquisitions, stock repurchases, prudent use of debt and a dividend.",0.7724801301956177,0.7724801301956177
"Now we remain committed to returning value to our shareholders through technical innovation, strategic acquisitions, stock repurchases, prudent use of debt and the dividend.",0.8119824528694153,0.8119824528694153
Our Board approved an up to $10 million share repurchase program effective immediately.,0.8238911032676697,0.8238911032676697
"I'm also pleased to announce that our Board of Directors have approved a share buyback program, which allows us to purchase up to $200 million of Akorn's outstanding common stock.",0.8597532510757446,0.8597532510757446
"Finally, I'm pleased to announce that B&W has approved the initiation of a quarterly dividend for its shareholders and a $250 million 2-year share repurchase program.",0.88404381275177,0.88404381275177
We announced last night that our Board of Directors approved the $250 million increase to the authorization to repurchase the company's outstanding common stock.,0.8965284824371338,0.8965284824371338
The combination of a dividend and a share buyback program reflects both our confidence in the company's long-term financial strength and our commitment to deploying capital to maximize shareholder value.,0.908105194568634,0.908105194568634
"However, as announced last week, our Board approved a new $50 million share repurchase authorization, bringing the total available amount to approximately $56 million.",0.908597469329834,0.908597469329834
"Earlier this week, the Board approved a $10 billion share repurchase authorization, providing us with continued flexibility on the best way to deploy our balance sheet.",0.9192469120025635,0.9192469120025635
"During the quarter, we completed our fiscal 2014 $30 million share repurchase program, and this month we announced that our engineering solution group has achieved AS9100 certification at our Design Center, an important requirement to support innovation in the aerospace and defense industries.",0.9195915460586548,0.9195915460586548
"We also increased our quarterly dividend 10% to $0.11 per share and pursuant to a share repurchase plan that the Board approved back in 2008, we resumed share repurchases during the first six months of the year by purchasing approximately 163,000 shares at an average price of $10.50 a share.",0.9243860244750977,0.9243860244750977
We plan to accelerate our share repurchase activity in the coming year beyond these levels to increase our return to shareholders.,0.9376068115234375,0.9376068115234375
